Points_0,Points_1,Points_2,TI,U_0,U_1,U_2,U_Magnitude,k,p
-1214.85,-857.51,90.314,0.0800921,8.00321,-7.41116e-05,6.10831e-05,8.00321,0.615815,0.135355
-1173.81,-857.51,90.314,0.0800922,8.00323,-0.000176964,2.72815e-05,8.00323,0.615817,0.135145
-1136.49,-857.51,90.314,0.0800923,8.00321,-0.00027323,3.58947e-05,8.00321,0.615819,0.135397
-1102.55,-857.51,90.314,0.0800924,8.00321,-0.0003294,3.13777e-05,8.00321,0.61582,0.135346
-1071.7,-857.51,90.314,0.0800925,8.00319,-0.00042054,4.49891e-05,8.00319,0.615822,0.135457
-1043.65,-857.51,90.314,0.0800927,8.00319,-0.000492788,5.49935e-05,8.00319,0.615824,0.135513
-1018.14,-857.51,90.314,0.0800928,8.00318,-0.000536214,7.65293e-05,8.00318,0.615826,0.13558
-994.954,-857.51,90.314,0.0800929,8.00317,-0.000599776,8.508e-05,8.00317,0.615827,0.135619
-973.87,-857.51,90.314,0.080093,8.00317,-0.000641432,0.000105245,8.00317,0.615829,0.135697
-954.7,-857.51,90.314,0.0800931,8.00316,-0.000707476,0.000127379,8.00316,0.61583,0.13572
-937.27,-857.51,90.314,0.0800931,8.00316,-0.000764586,0.000147406,8.00316,0.615832,0.135711
-921.422,-857.51,90.314,0.0800932,8.00316,-0.000825708,0.000167378,8.00316,0.615833,0.135679
-907.013,-857.51,90.314,0.0800933,8.00317,-0.000878053,0.000187006,8.00317,0.615834,0.135629
-893.912,-857.51,90.314,0.0800934,8.00317,-0.000927289,0.00020608,8.00317,0.615835,0.135557
-882,-857.51,90.314,0.0800934,8.00318,-0.000967417,0.000221185,8.00318,0.615836,0.135476
-869.4,-857.51,90.314,0.0800935,8.00319,-0.00101639,0.000237644,8.00319,0.615837,0.135383
-856.8,-857.51,90.314,0.0800936,8.0032,-0.00106929,0.000255384,8.0032,0.615838,0.135283
-844.2,-857.51,90.314,0.0800936,8.00321,-0.0011123,0.00027069,8.00321,0.615839,0.13517
-831.6,-857.51,90.314,0.0800937,8.00322,-0.00116749,0.000288711,8.00322,0.615839,0.135038
-819,-857.51,90.314,0.0800937,8.00324,-0.00122453,0.000307882,8.00324,0.61584,0.134887
-806.4,-857.51,90.314,0.0800937,8.00325,-0.00127113,0.000325195,8.00325,0.61584,0.134715
-793.8,-857.51,90.314,0.0800938,8.00327,-0.00132309,0.000343968,8.00327,0.615841,0.134525
-781.2,-857.51,90.314,0.0800938,8.00329,-0.00137694,0.000363487,8.00329,0.615841,0.134316
-768.6,-857.51,90.314,0.0800938,8.00331,-0.00143194,0.000383655,8.00331,0.615842,0.134087
-756,-857.51,90.314,0.0800938,8.00334,-0.00148747,0.000403984,8.00334,0.615842,0.133838
-743.4,-857.51,90.314,0.0800938,8.00337,-0.00154422,0.000425012,8.00337,0.615841,0.133564
-730.8,-857.51,90.314,0.0800938,8.0034,-0.00160293,0.000446433,8.0034,0.615841,0.133269
-718.2,-857.51,90.314,0.0800937,8.00343,-0.00166156,0.000468084,8.00343,0.615841,0.132948
-705.6,-857.51,90.314,0.0800937,8.00346,-0.0017227,0.000490348,8.00346,0.61584,0.132602
-693,-857.51,90.314,0.0800936,8.0035,-0.00178567,0.000512363,8.0035,0.615839,0.132227
-680.4,-857.51,90.314,0.0800936,8.00355,-0.00184885,0.000534434,8.00355,0.615838,0.131817
-667.8,-857.51,90.314,0.0800935,8.00359,-0.00191391,0.000557067,8.00359,0.615837,0.131378
-655.2,-857.51,90.314,0.0800934,8.00364,-0.0019807,0.000580341,8.00364,0.615835,0.130907
-642.6,-857.51,90.314,0.0800933,8.0037,-0.00204926,0.000603649,8.0037,0.615834,0.130405
-630,-857.51,90.314,0.0800932,8.00375,-0.0021197,0.000627351,8.00375,0.615832,0.129872
-617.4,-857.51,90.314,0.080093,8.00382,-0.0021917,0.000651281,8.00382,0.615829,0.129304
-604.8,-857.51,90.314,0.0800928,8.00388,-0.00226556,0.00067532,8.00388,0.615827,0.128699
-592.2,-857.51,90.314,0.0800927,8.00395,-0.00234147,0.000699655,8.00395,0.615824,0.128057
